content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,content_hash_id,gsc_clicks,gsc_impressions,gsc_avg_position,gsc_ctr,is_declining,staleness_bucket,action_score,reason_code,action_label
content_1c270778922c,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,1250,5,40,39,37,0,0,0,88,16,353,1,27,304,1,10,236,181-365,5,104,91-180,,,0.4,7.8,0.0,0.0,0.0,moderate,page_1,stable,16.1,content_1c270778922c,5,1250,7.8,0.004,0,91-180d,0.6058628951274629,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_d8a59ca1d847,client_19581e27de,10.0,0.21,LOW,0.0,keyword article,transactional,,,,,497,1,46,42,39,5,0,10,85,25,274,0,5,127,1,23,329,181-365,5,104,91-180,,,0.2,25.9,11.9,21.74,0.0,moderate,page_3_5,up,115.7,content_d8a59ca1d847,1,497,25.9,0.002,0,91-180d,0.6058617764501147,NO_ACTION_NEEDED,MONITOR
content_1d8ca2df0368,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,1249,5,10,9,9,0,0,1,88,9,198,3,6,630,1,2,236,181-365,5,104,91-180,,,0.4,6.2,0.0,10.0,0.0,moderate,page_1,down,-68.6,content_1d8ca2df0368,5,1249,6.2,0.004,1,91-180d,0.6058490032600483,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_a351be29f266,client_8527a891e2,0.0,0.0,LOW,0.0,keyword article,informational,4066.0,24005.0,,gpt-4o-mini,197,0,6,6,6,1,0,2,62,6,22,0,3,53,0,1,277,181-365,5,104,91-180,3500+,15000-25000,0.0,13.9,16.67,33.33,0.0,low,striking,down,-58.5,content_a351be29f266,0,197,13.9,0.0,1,91-180d,0.6058392103501873,NO_ACTION_NEEDED,MONITOR
content_2c089ab16a13,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,commercial,6664.0,45117.0,,gemini-3-flash-preview,197,0,49,25,25,2,0,0,60,8,33,0,19,108,0,6,229,181-365,5,104,91-180,3500+,25000+,0.0,8.0,8.0,0.0,0.0,low,page_1,down,-69.4,content_2c089ab16a13,0,197,8.0,0.0,1,91-180d,0.6058392103501873,NO_ACTION_NEEDED,MONITOR
content_9dd5202fec90,client_19581e27de,10.0,0.03,LOW,0.0,keyword article,transactional,,,,,197,0,6,6,6,0,0,0,65,5,70,0,5,41,0,0,313,181-365,5,104,91-180,,,0.0,44.8,0.0,0.0,0.0,low,page_3_5,up,70.7,content_9dd5202fec90,0,197,44.8,0.0,0,91-180d,0.6058392103501873,NO_ACTION_NEEDED,MONITOR
content_cf01d88fa7e3,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,4211.0,25354.0,,gpt-4o-mini,197,0,2,2,2,0,0,0,60,2,34,0,1,45,0,0,310,181-365,5,104,91-180,3500+,25000+,0.0,6.4,0.0,0.0,0.0,low,page_1,down,-24.4,content_cf01d88fa7e3,0,197,6.4,0.0,1,91-180d,0.6058392103501873,NO_ACTION_NEEDED,MONITOR
content_b6ed8ae5d269,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,transactional,,,,,716,2,3,3,3,0,0,0,85,3,147,2,3,226,0,0,330,181-365,5,104,91-180,,,0.28,9.9,0.0,0.0,0.0,moderate,page_1,down,-35.0,content_b6ed8ae5d269,2,716,9.9,0.0028000000000000004,1,91-180d,0.6057933689664381,NO_ACTION_NEEDED,MONITOR
content_1077e99cad41,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,495,1,4,3,3,0,0,0,87,3,132,0,0,155,1,3,236,181-365,5,104,91-180,,,0.2,48.8,0.0,0.0,0.0,moderate,page_3_5,stable,-14.8,content_1077e99cad41,1,495,48.8,0.002,0,91-180d,0.605791869799334,NO_ACTION_NEEDED,MONITOR
content_e8e34a25d613,client_6208ef0f77,0.0,0.0,LOW,0.0,keyword article,informational,6180.0,40372.0,,gemini-3-flash-preview,3276,20,86,55,54,2,0,3,88,33,832,7,22,504,2,8,287,181-365,5,104,91-180,3500+,25000+,0.61,12.0,3.64,3.49,0.0,good,striking,up,65.1,content_e8e34a25d613,20,3276,12.0,0.0060999999999999995,0,91-180d,0.6057916603950211,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_0b292ae05614,client_3fdba35f04,0.0,0.0,LOW,0.0,keyword article,informational,1435.0,9061.0,,gpt-4o-mini,1084,4,12,8,8,0,0,1,87,7,119,1,3,231,0,0,263,181-365,5,104,91-180,1000-2000,8000-15000,0.37,10.3,0.0,8.33,0.0,moderate,striking,down,-48.5,content_0b292ae05614,4,1084,10.3,0.0037,1,91-180d,0.605789792267108,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_7c2dbf3b0577,client_8527a891e2,10.0,0.0,LOW,0.0,keyword article,informational,1920.0,12463.0,,gpt-4o-mini,196,0,1,1,1,0,0,0,59,1,43,0,0,34,0,1,275,181-365,5,104,91-180,1000-2000,8000-15000,0.0,25.3,0.0,0.0,0.0,low,page_3_5,up,26.5,content_7c2dbf3b0577,0,196,25.3,0.0,0,91-180d,0.6057512517861897,NO_ACTION_NEEDED,MONITOR
content_71ea2ad2d335,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,commercial,,,,,898,3,1,1,1,0,0,0,87,1,159,0,0,231,2,0,330,181-365,5,104,91-180,,,0.33,3.9,0.0,0.0,0.0,moderate,page_1,down,-31.2,content_71ea2ad2d335,3,898,3.9,0.0033,1,91-180d,0.6057229904090552,NO_ACTION_NEEDED,MONITOR
content_c7fbdaf2f850,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,493,1,3,3,3,0,0,0,80,3,126,0,2,160,1,1,144,91-180,4,104,91-180,,,0.2,3.9,0.0,0.0,0.0,moderate,page_1,down,-21.3,content_c7fbdaf2f850,1,493,3.9,0.002,1,91-180d,0.6057216806966719,NO_ACTION_NEEDED,MONITOR
content_152e0608ed04,client_19581e27de,210.0,0.27,LOW,0.11,keyword article,informational,,,,,493,1,7,6,6,0,0,0,85,6,122,0,0,141,1,4,153,91-180,4,104,91-180,,,0.2,29.8,0.0,0.0,0.0,moderate,page_3_5,stable,-13.5,content_152e0608ed04,1,493,29.8,0.002,0,91-180d,0.6057216806966719,NO_ACTION_NEEDED,MONITOR
content_1a9e894be2e2,client_19581e27de,70.0,0.07,LOW,0.1,keyword article,transactional,,,,,416180,944,1288,1140,1120,27,0,64,88,76,107986,247,382,147889,325,488,482,365+,6,22,0-30,,,0.23,4.0,2.37,4.97,0.0,excellent,page_1,down,-27.0,content_1a9e894be2e2,944,416180,4.0,0.0023,1,<30d (Fresh),0.605709589041096,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_d4027eed8a9c,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,transactional,,,,,897,3,6,5,5,0,0,0,85,5,108,1,3,211,2,2,330,181-365,5,104,91-180,,,0.33,7.8,0.0,0.0,0.0,moderate,page_1,down,-48.8,content_d4027eed8a9c,3,897,7.8,0.0033,1,91-180d,0.6057036562064182,NO_ACTION_NEEDED,MONITOR
content_17b34f0fb939,client_6208ef0f77,10.0,0.0,LOW,0.0,keyword article,commercial,6825.0,45397.0,,gemini-3-flash-preview,1710,8,76,44,44,1,0,0,88,19,422,0,23,536,4,14,236,181-365,5,104,91-180,3500+,25000+,0.47,15.7,2.27,0.0,0.0,moderate,striking,down,-21.3,content_17b34f0fb939,8,1710,15.7,0.004699999999999999,1,91-180d,0.6057026031213701,POOR_SERP_CTR,REWRITE_TITLE_TAG
content_7df5062fd83f,client_4ec9599fc2,10.0,0.0,LOW,0.0,keyword article,informational,,,,gpt-5-mini,712,2,14,14,14,0,0,3,84,10,128,0,5,168,0,7,445,365+,6,104,91-180,,,0.28,9.9,0.0,21.43,0.0,moderate,page_1,down,-23.8,content_7df5062fd83f,2,712,9.9,0.0028000000000000004,1,91-180d,0.6056961839338006,NO_ACTION_NEEDED,MONITOR
content_2acff0b506cf,client_3fdba35f04,10.0,0.93,HIGH,38.91,keyword article,transactional,1543.0,10278.0,,gpt-4o-mini,492,1,8,6,6,0,0,3,70,5,17,0,0,227,0,2,310,181-365,5,104,91-180,1000-2000,8000-15000,0.2,38.3,0.0,37.5,0.0,moderate,page_3_5,down,-92.5,content_2acff0b506cf,1,492,38.3,0.002,1,91-180d,0.6056864795108152,NO_ACTION_NEEDED,MONITOR
content_18bce896e6df,client_19581e27de,0.0,0.0,LOW,0.0,keyword article,informational,,,,,896,3,5,5,5,0,0,0,88,4,152,1,2,279,0,2,236,181-365,5,104,91-180,,,0.33,5.7,0.0,0.0,0.0,moderate,page_1,down,-45.5,content_18bce896e6df,3,896,5.7,0.0033,1,91-180d,0.6056843004614897,NO_ACTION_NEEDED,MONITOR
content_33dbb6eda775,client_3fdba35f04,20.0,0.0,LOW,0.0,keyword article,transactional,1511.0,9542.0,,gpt-4o-mini,195,0,15,14,14,0,0,3,41,3,3,0,0,59,0,0,284,181-365,5,104,91-180,1000-2000,8000-15000,0.0,13.3,0.0,20.0,0.0,low,striking,down,-94.9,content_33dbb6eda775,0,195,13.3,0.0,1,91-180d,0.6056628455939851,NO_ACTION_NEEDED,MONITOR
